"Category","Name","Source","Destination","HasSkillMd"
"06_论文写作审稿投稿Skills","doc-coauthoring","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\doc-coauthoring","True"
"06_论文写作审稿投稿Skills","empirical-paper-writer","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\empirical-paper-writer","True"
"06_论文写作审稿投稿Skills","hypothesis-generation","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\hypothesis-generation","True"
"06_论文写作审稿投稿Skills","paper-writing-assistant-typesetting","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\paper-writing-assistant-typesetting","True"
"06_论文写作审稿投稿Skills","peer-review","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\peer-review","True"
"06_论文写作审稿投稿Skills","research-grants","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\research-grants","True"
"06_论文写作审稿投稿Skills","research-proposal","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\research-proposal","True"
"06_论文写作审稿投稿Skills","scholar-evaluation","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\scholar-evaluation","True"
"06_论文写作审稿投稿Skills","scientific-critical-thinking","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\scientific-critical-thinking","True"
"06_论文写作审稿投稿Skills","scientific-writing","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\scientific-writing","True"
"06_论文写作审稿投稿Skills","venue-templates","本地分类库","本地Skills功能分类库\06_论文写作审稿投稿Skills\venue-templates","True"
"07_自动化MCP浏览器与Agent Skills","agent-browser","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\agent-browser","True"
"07_自动化MCP浏览器与Agent Skills","ai4scholar-mcp-openclaw-setup","本地分类库","本地Skills功能分类库\07_自动化MCP浏览器与Agent Skills\ai4scholar-mcp-openclaw-setup","True"
